Area 0,0:
290,217,🌳,40,3
246,248,🌳,40,3
232,282,🌳,40,3
218,340,🌳,40,3
235,399,🌳,40,3
280,471,🌳,40,3
337,511,🌳,40,3
421,524,🌳,40,3
450,519,🌳,40,3
485,514,🌳,40,3
508,497,🌳,40,3
530,460,🌳,40,3
551,418,🌳,40,3
555,350,🌳,40,3
530,282,🌳,40,3
494,247,🌳,40,3
445,228,🌳,40,3
403,213,🌳,40,3
348,209,🌳,40,3

Area 0,-1:

Area 1,-1:
171,87,🌳,40,3
171,107,🌳,40,3
171,132,🌳,40,3
176,170,🌳,40,3
171,220,🌳,40,3
171,255,🌳,40,3
170,284,🌳,40,3
173,324,🌳,40,3
173,378,🌳,40,3
174,428,🌳,40,3
179,460,🌳,40,3
208,450,🌳,40,3
208,407,🌳,40,3
209,367,🌳,40,3
205,331,🌳,40,3
205,272,🌳,40,3
203,228,🌳,40,3
201,173,🌳,40,3
200,129,🌳,40,3
202,103,🌳,40,3
200,79,🌳,40,3
104,179,🌳,40,3
39,186,🌳,40,3
83,180,🌳,40,3
63,183,🌳,40,3
142,179,🌳,40,3
233,179,🌳,40,3
289,167,🌳,40,3
337,173,🌳,40,3
365,174,🌳,40,3
260,170,🌳,40,3

Area 2,-1:

