Area 0,0:
38,55,🌳,40,0,0
44,29,🌳,40,0,1
106,39,🌳,40,0,1
199,128,🌳,40,0,1
126,121,🌳,40,0,1
269,107,🌳,48,0,1
358,37,🌳,64,0,1
358,107,🌳,68,0,1
442,119,🌳,68,0,1
512,200,🌳,70,0,1
613,199,🌳,70,0,1
599,127,🌳,70,0,1
600,111,🌳,70,0,1
596,35,🌳,70,0,1
521,42,🌳,70,0,1
36,678,🌳,70,0,1
32,766,🌳,70,0,1
120,767,🌳,70,0,1
598,755,🌳,70,0,1
681,757,🌳,70,0,1
752,762,🌳,70,0,1
757,678,🌳,70,0,1
756,596,🌳,70,0,false
43,201,🌳,70,0,false
41,113,🌳,70,0,false
761,43,🌳,70,0,false
755,104,🌳,70,0,false
681,37,🌳,70,0,false
756,194,🌳,70,0,false
192,40,🌳,70,0,false

Area 1,0:
752,762,🌳,70,0,1
757,678,🌳,70,0,1
756,596,🌳,70,0,false
43,201,🌳,70,0,false
41,113,🌳,70,0,false
